original,exists,best_title,best_filePath_url,candidates_json
Acini_di_pepe.jpg,yes,File:Acini di pepe.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Acini%20di%20pepe.jpg,"[""File:Acini di pepe.jpg""]"
Agnolotti_al_plin.jpg,yes,File:Agnolotti al plin.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Agnolotti%20al%20plin.jpg,"[""File:Agnolotti al plin.jpg""]"
Anellini_pasta.jpg,yes,File:Anellini pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Anellini%20pasta.jpg,"[""File:Anellini pasta.jpg""]"
Angel_hair_pasta_with_tomatoes.jpg,yes,File:Angel hair pasta with tomatoes.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Angel%20hair%20pasta%20with%20tomatoes.jpg,"[""File:Angel hair pasta with tomatoes.jpg""]"
Baked_anellini.jpg,yes,File:Baked anellini.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Baked%20anellini.jpg,"[""File:Baked anellini.jpg""]"
Baked_ziti.jpg,yes,File:Baked ziti.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Baked%20ziti.jpg,"[""File:Baked ziti.jpg""]"
Bigoli_in_salsa.jpg,yes,File:Bigoli in salsa.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Bigoli%20in%20salsa.jpg,"[""File:Bigoli in salsa.jpg""]"
Bucatini_all'amatriciana.jpg,yes,File:Bucatini all'amatriciana.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Bucatini%20all'amatriciana.jpg,"[""File:Bucatini all'amatriciana.jpg""]"
Busiate_pasta.jpg,yes,File:Busiate pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Busiate%20pasta.jpg,"[""File:Busiate pasta.jpg""]"
Busiati_con_pesto_trapanese.jpg,yes,File:Busiati con pesto trapanese.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Busiati%20con%20pesto%20trapanese.jpg,"[""File:Busiati con pesto trapanese.jpg""]"
Calamarata_pasta.jpg,yes,File:Calamarata pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Calamarata%20pasta.jpg,"[""File:Calamarata pasta.jpg""]"
Calamarata_with_seafood.jpg,yes,File:Calamarata with seafood.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Calamarata%20with%20seafood.jpg,"[""File:Calamarata with seafood.jpg""]"
Campanelle_pasta.jpg,yes,File:Campanelle pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Campanelle%20pasta.jpg,"[""File:Campanelle pasta.jpg""]"
Campanelle_with_veggies.jpg,yes,File:Campanelle with veggies.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Campanelle%20with%20veggies.jpg,"[""File:Campanelle with veggies.jpg""]"
Cannelloni_al_forno.jpg,yes,File:Cannelloni al forno.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cannelloni%20al%20forno.jpg,"[""File:Cannelloni al forno.jpg""]"
Cannelloni_raw.jpg,yes,File:Cannelloni raw.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cannelloni%20raw.jpg,"[""File:Cannelloni raw.jpg""]"
Capellini_pasta.jpg,yes,File:Capellini pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Capellini%20pasta.jpg,"[""File:Capellini pasta.jpg""]"
Cappelletti_in_brodo.jpg,yes,File:Cappelletti in brodo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cappelletti%20in%20brodo.jpg,"[""File:Cappelletti in brodo.jpg""]"
Cappelletti_raw.jpg,yes,File:Cappelletti raw.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cappelletti%20raw.jpg,"[""File:Cappelletti raw.jpg""]"
Caserecce_trapanese.jpg,yes,File:Caserecce trapanese.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Caserecce%20trapanese.jpg,"[""File:Caserecce trapanese.jpg""]"
Caserecce.jpg,yes,File:Caserecce.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Caserecce.jpg,"[""File:Caserecce.jpg""]"
Casoncelli_alla_bergamasca.jpg,yes,File:Casoncelli alla bergamasca.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Casoncelli%20alla%20bergamasca.jpg,"[""File:Casoncelli alla bergamasca.jpg""]"
Casoncelli.jpg,yes,File:Casoncelli.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Casoncelli.jpg,"[""File:Casoncelli.jpg""]"
Cavatappi.jpg,yes,File:Cavatappi.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cavatappi.jpg,"[""File:Cavatappi.jpg""]"
Cavatelli_con_broccoli.jpg,yes,File:Cavatelli con broccoli.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cavatelli%20con%20broccoli.jpg,"[""File:Cavatelli con broccoli.jpg""]"
Cavatelli_pasta.jpg,yes,File:Cavatelli pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cavatelli%20pasta.jpg,"[""File:Cavatelli pasta.jpg""]"
Conchiglie_rigate.jpg,yes,File:Conchiglie rigate.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Conchiglie%20rigate.jpg,"[""File:Conchiglie rigate.jpg""]"
Conchiglie_with_peas.jpg,yes,File:Conchiglie with peas.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Conchiglie%20with%20peas.jpg,"[""File:Conchiglie with peas.jpg""]"
Corzetti_al_tocco.jpg,yes,File:Corzetti al tocco.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Corzetti%20al%20tocco.jpg,"[""File:Corzetti al tocco.jpg""]"
Corzetti_pasta.jpg,yes,File:Corzetti pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Corzetti%20pasta.jpg,"[""File:Corzetti pasta.jpg""]"
Elbow_macaroni_pasta.jpg,yes,File:Elbow macaroni pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Elbow%20macaroni%20pasta.jpg,"[""File:Elbow macaroni pasta.jpg""]"
Farfalle_con_salmone.jpg,yes,File:Farfalle con salmone.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Farfalle%20con%20salmone.jpg,"[""File:Farfalle con salmone.jpg""]"
Farfalle_pasta.jpg,yes,File:Farfalle pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Farfalle%20pasta.jpg,"[""File:Farfalle pasta.jpg""]"
Farfalline_pasta.jpg,yes,File:Farfalline pasta.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Farfalline%20pasta.jpg,"[""File:Farfalline pasta.jpg""]"
Farfalline_soup.jpg,yes,File:Farfalline soup.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Farfalline%20soup.jpg,"[""File:Farfalline soup.jpg""]"
Fettuccine_raw.jpg,yes,File:Fettuccine raw.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Fettuccine%20raw.jpg,"[""File:Fettuccine raw.jpg""]"
Fregola_con_arselle.jpg,yes,File:Fregola con arselle.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Fregola%20con%20arselle.jpg,"[""File:Fregola con arselle.jpg""]"
Fregola_sarda.jpg,yes,File:Fregola sarda.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Fregola%20sarda.jpg,"[""File:Fregola sarda.jpg""]"
